Feature,Sample_Size_N,Spatial_Density,Structural_Density
0489KA,1869,0.013150432561928363,0.002798390968157347
0493aKA,1514,0.011944914222052646,0.003006964738012522
0493bKA,1456,0.012203089007212719,0.00311166496733507
0504aKA,1381,0.01356819779827682,0.005654377735100588
0504bKA,1348,0.013683556601217345,0.005783816768332309
0506KA,329,0.009989621172807472,0.012139521091259545
0507KA,1296,0.012195528862195529,0.005223080223080223
0511aKA,1787,0.011954572998594428,0.004684824015174919
0511bKA,1752,0.011861454250539158,0.004276095329739823
0513KA,2225,0.012165548460108318,0.003948751111470374
0516KA,2225,0.012165548460108318,0.003948751111470374
0517KA,1946,0.011632853100552976,0.004451818640570467
0521KA,1626,0.011550004730816538,0.0048208912858359355
0564KA,1776,0.011950260119274204,0.00473543966501713
0569KA,1992,0.012667949548066701,0.00421676661442354
0572KA,2225,0.012165548460108318,0.003948751111470374
0573KA,1744,0.012285709022196256,0.004498334096543447
0577KA,1421,0.013172631850214589,0.005057933809755082
0582KA,2225,0.012165548460108318,0.003948751111470374
0612KA,1578,0.013925624450975806,0.004667057262469932
0668KA,1540,0.012646093347847734,0.005107887564027915
0798KA,1779,0.012208423356861169,0.004560138245788417
0822KA,1236,0.012103821914757019,0.005544855417108866
0837KA,1411,0.012701619996883655,0.00553905232946806
0889aKA,2085,0.012755860570660554,0.004099752827296704
0889bKA,2085,0.012755860570660554,0.004099752827296704
0917aKA,1550,0.012619171577917074,0.005134634207292947
0917bKA,1989,0.012354165212491641,0.004223430072642997
0917cKA,1407,0.011870135200850047,0.005523085648773001
0964aKA,1910,0.012959829301270641,0.004430926528787584
0964bKA,1903,0.01318246191607363,0.004333188009634464
0982KA,1108,0.011218403399437122,0.0062907849295099445
0983KA,1140,0.011598354974354234,0.0061950310367666316
1027aKA,1882,0.013195323671301076,0.0044101171681013955
1027bKA,1882,0.013195323671301076,0.0044101171681013955
1027cKA,1882,0.013195323671301076,0.0044101171681013955
1028aKA,1882,0.013195323671301076,0.0044101171681013955
1028bKA,1882,0.013195323671301076,0.0044101171681013955
1028cKA,1882,0.013195323671301076,0.0044101171681013955
1053KA,2225,0.012165548460108318,0.003948751111470374
1111KA,1687,0.012543060076321546,0.004728785682994865
1114KA,1003,0.013958125623130608,0.007305429022314295
1142aKA,1143,0.010173859616059376,0.005969481485567369
1142bKA,1143,0.010173859616059376,0.005969481485567369
1152KA,1425,0.011462645377488666,0.005518430908732505
1163KA,1904,0.012400808983603951,0.004319804642824024
1216KA,1837,0.012816909259318558,0.0044308293691879466
1267aKA,1548,0.013943800537507788,0.004739522523380253
1267bKA,1548,0.013943800537507788,0.004739522523380253
1334aKA,1366,0.011393389431456782,0.005505768024069635
1334bKA,1332,0.01142765605575523,0.005631476705856871
1334cKA,1310,0.011463794400480525,0.00572898139130739
1341KA,1598,0.011623797122734038,0.004909863064585272
1349KA,1637,0.011959828716433694,0.004477747922805896
1372KA,1347,0.010563345324098129,0.0052695384934436885
1415KA,1595,0.013177157286532962,0.005126591489244541
1427KA,1386,0.013423559993957106,0.0056521897677132334
1430KA,1404,0.012699689107386898,0.005537584297384725
1431mKA,1743,0.012104181857823288,0.004769611495020594
1431nKA,1743,0.012104181857823288,0.004769611495020594
1434KA,1546,0.012946658460920132,0.005263400277153276
1436KA,1627,0.011362682772494597,0.004961629210637528
1499KA,1446,0.014411310045131062,0.004817489602626504
1531KA,1469,0.013698172773189049,0.005418058587743428
1534KA,1550,0.012619171577917074,0.005134634207292947
1537KA,1003,0.013958125623130608,0.007305429022314295
1544KA,1542,0.01315281147973548,0.0043952122318537575
1545KA,1677,0.012271885669232619,0.004816675988347187
1546aKA,1661,0.011755873584645627,0.004777206357035608
1546bKA,1661,0.011755873584645627,0.004777206357035608
1548aKA,2085,0.012755860570660554,0.004099752827296704
1548bKA,2085,0.012755860570660554,0.004099752827296704
1549KA,1989,0.012354165212491641,0.004223430072642997
1550KA,1516,0.011721831813788238,0.005262241263704207
1559KA,1674,0.010929792951658251,0.004719699550310969
1560KA,1696,0.012902821840040074,0.004138837869427283
1561KA,1775,0.012699239404862093,0.004623275163948743
1586KA,1422,0.013829131245106801,0.005593216480539546
1589KA,1453,0.013850890813914026,0.005486890427139441
1591KA,1258,0.011686542642600483,0.0052374429743515805
1592KA,1273,0.011557159584401726,0.005199918975134259
1593KA,1017,0.012414930434580633,0.006238434797420234
1610KA,1972,0.013000371512694722,0.004323337480691116
1611KA,2030,0.012707368768618577,0.004280300179418142
1612aKA,1648,0.012086553368584246,0.004894158841317842
1612bKA,1613,0.011809291442513449,0.004908936233056786
1612cKA,1699,0.012311683377806248,0.004802936113601086
1612dKA,1647,0.01199279075103229,0.0048934658619338815
1621KA,1295,0.011345503153849367,0.005663203499370424
1653KA,1760,0.01267507364721691,0.004606827226213241
1667aKA,1012,0.0141369833022523,0.007310884617038662
1667bKA,1003,0.013958125623130608,0.007305429022314295
1741KA,1523,0.013383917039041314,0.005304559177154848
1827KA,1385,0.011587821623088,0.005448550739759187
1994aKA,1451,0.013470852444212077,0.005460205803369852
1994bKA,1550,0.013101480663903872,0.00511131010641621
1994cKA,1553,0.013373683127435426,0.005224341314781501
1994dKA,1550,0.013477998292342615,0.005181282409046419
2012KA,1223,0.014225436364925936,0.006166586149537038
