code	Konstanz.Archive.number	URL.number	Basis	Variants	Universal	Universal.short	Universal.shorter	Domain_general	Domain_if_part	Domain_then_part	formal.formula	harmony_status	Details.source	Details.source2	citation.scores	Size..review.of.original.	Bias.in.sample..review.of.original.	Bias.2	Bias.3	Sense..review.of.original.	Implementation..review.of.original.	Implementation..review.of.original..1	BT_EDGE_BF	brmsQ_Fixed_V3_Estimate	brmsQ_Fixed_V3_low_95_CI	brmsQ_Fixed_V3_upp_95_CI	brmsQ_Fixed_V3_SIG	uncon_Fixed_V3_Estimate	uncon_Fixed_V3_low_95_CI	uncon_Fixed_V3_upp_95_CI	uncon_Fixed_V3_SIG	FAM_Fixed_V3_Estimate	FAM_Fixed_V3_low_95_CI	FAM_Fixed_V3_upp_95_CI	FAM_Fixed_V3_SIG	median_BF	o95HDI_lower	o95HDI_higher	o95HDI_SIG	brms_spa_phy_median_Estimate	brms_spa_phy_median_l_95_CI	brms_spa_phy_median_u_95_CI	brms_support	supported
0239cKA	239	239	"French, Italian, Spanish, Portuguese, Latin, Breton, Gaelic, English, German, Swedish, Ancient Greek, Polish (all Indo-European), Arabic, Aramaic, Hebrew (all Semitic, Afro-Asiatic), Saami (Uralic), Chinese (Sino-Tibetan), Quechua (Andean) Source Beauz_e 1767"	c	"If constituent order is free, all potentially declinable kinds of nominal words in relationships of determination – nouns, pronouns, adjectives (including articles) – are declined at least for case, the cardinal relational category, but presumably for number and gender as well."	free order > gender (pro)noun adj art	free > gen (pro)noun adj art	broad word order	free order	gender	GB136:0 > GB170: 1 & GB172: 1 & (GB051|GB052|GB053|GB054|GB192|GB321: 1)	NA	Beauz_e 1767	Beauz_e 1767	548	18	Exclusively Eurasian + Quechua	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	-0.20128	-0.47923785	-1.5041603	0.5479089	NOT SIG	-0.2523176	-0.744112	0.2202781	NOT SIG	-0.50522311	-1.7712914	0.6228198	NOT SIG	-6.426455	-11.1604	-0.559625	NOT SIG	-0.37605733	-1.439121375	0.676062575	no	NOT SIG
0240aKA	240	240	languages mentioned in Gabelentz 1894 Source Gabelentz 1894	a	"If a language has ergative case marking, it will with far more than chance frequency also have divergent ordering of genitive and adjective attributes (with genitives preceding and with adjectives following their head nouns); if it has divergent genitive and adjective ordering, it will [supposedly with somewhat lower frequency] also have ergative case marking."	ergative case > Gen-N & N-Adj	ergative case > Gen-N & N-Adj	broad word order	case	word order	GB409:1 > GB065:1 & GB193:2	NA	NA	unknown source4	877	NA	NA	NA	NA	NA	perfect	perfect	-13.363268	0.1239663	-1.14523935	1.2539973	NOT SIG	0.4113225	0.1280314	0.6917003	SIG	-0.1408703	-1.68400651	1.2023464	NOT SIG	-10.4121715	-16.856211	2.019643	NOT SIG	0.170884028	-1.033010625	1.297137125	no	NOT SIG
0245aKA	245	245	"French, Italian, Spanish, Portuguese, Latin, Breton, Gaelic, English, German, Swedish, Ancient Greek, Polish (all Indo-European), Arabic, Aramaic, Hebrew (all Semitic, Afro-Asiatic), Saami (Uralic), Chinese (Sino-Tibetan), Quechua (Andean) Source Beauz_e 1767, as interpreted in Plank 1999: 20"	a	"If constituent order is free without limits, then nominal words are inflected, but not vice versa; if constituent order is rigid without inversions, then there is no nominal inflection, but again not vice versa."	free order > inflection nouns	free order > infl noun	broad word order	free order	inflection	"GB136:0 > sum(GB070:1,GB072:1,GB042:1,GB043:1,GB044:1,GB046:1,GB165:1,GB166:1) > 0"	NA	"Beauz_e 1767, as interpreted in Plank 1999: 20"	Beauz_e 1767	548	18	Exclusively Eurasian + Quechua	exclusively samples one family or area	exclusively samples one family or area	NA	"OK, possibily Grambank doesn""t capture all categories nouns could inflect for"	OK	-2.919011	0.4954502	0.029027943	0.9841123	SIG	0.4000988	0.1830147	0.616362	SIG	0.5806957	-0.01180766	1.23236478	NOT SIG	-0.076166	-8.066368	4.127145	NOT SIG	0.523590973	0.070772248	1.039321875	yes	NOT SIG
0245bKA	245	245	"French, Italian, Spanish, Portuguese, Latin, Breton, Gaelic, English, German, Swedish, Ancient Greek, Polish (all Indo-European), Arabic, Aramaic, Hebrew (all Semitic, Afro-Asiatic), Saami (Uralic), Chinese (Sino-Tibetan), Quechua (Andean) Source Beauz_e 1767, as interpreted in Plank 1999: 20"	b	"If constituent order is free without limits, then nominal words are inflected, but not vice versa; if constituent order is rigid without inversions, then there is no nominal inflection, but again not vice versa."	rigid order & no inversion > no inflection nouns	rigid & no inv > no infl noun	broad word order	rigid order	inflection	"GB136:1 & GB260:0 > sum(GB070:1,GB072:1,GB042:1,GB043:1,GB044:1,GB046:1,GB165:1,GB166:1) = 0"	NA	"Beauz_e 1767, as interpreted in Plank 1999: 20"	Beauz_e 1767	548	18	Exclusively Eurasian + Quechua	exclusively samples one family or area	exclusively samples one family or area	NA	"OK, probably we don""t capture ""inversion"" fully"	OK	-4.468038	0.2434154	-0.53751999	0.9927429	NOT SIG	0.33058799	0.000865338	0.6505964	SIG	0.24880769	-0.63499919	1.1639961	NOT SIG	-3.558766	-6.323601	0.849225	NOT SIG	0.271663336	-0.504930563	0.987385638	no	NOT SIG
0247KA	247	247	"Afro-Asiatic, Indo-European, Kartvel families Source Palmaitis 1978: 27-38"	NA	"The presence of the category of gender is connected with the development of the morphological opposition of nominative/accusative. In those systems where the special form of accusative is attested, the category of gender exists."	accusative > gender	accusative > gender	other	case	gender	GB408:1 > GB030|GB051|GB052|GB053|GB054|GB192|GB196|GB197|GB321:1	NA	Palmaitis 1978: 27-38	Palmaitis 1978	3	13	Samples almost explusively Semitic and Kartvelian	exclusively samples one family or area	exclusively samples one family or area	"Nichols (1992: 4.3) discusses a correlation between accusative alignment and gender systems, can be seen as a follow-up study."	"OK, here we can test for accusative alignment but not for ""special"" form of accusative (whatever that means)"	OK	-0.618451	-0.11397584	-0.69030809	0.4668582	NOT SIG	-0.06479473	-0.2674688	0.13585101	NOT SIG	-0.06580391	-0.78108693	0.6860672	NOT SIG	0.4065475	-6.95486	12.405539	NOT SIG	-0.158022839	-0.725876425	0.39214775	no	NOT SIG
0260KA	260	260	different language families in Klimov 1973 Source Klimov 1973: 99	NA	In ergative languages personal conjugation is of prefixal or prefix-suffixal nature.	ergative > prefixal personal conjugation	ergative > pref pers conj	other	case	other	GB409:1 > GB090:1 | GB092:1 | GB094:1	NA	Klimov 1973: 99	Klimov 1973	1	2	"not really, just small"	NA	NA	NA	"not great, here we are probably testing a too strict version of the universal, as we cannot implement languages with both prefixes and suffixes, as this would include solely suffixal languages too."	less than OK	-13.97118	-0.18356617	-1.46824681	0.9909723	NOT SIG	-0.397099	-0.6479572	-0.1456441	SIG	-0.61332654	-2.18139721	0.8261205	NOT SIG	-15.4733635	-22.371407	-7.282036	NOT SIG	-0.200627087	-1.511407875	0.9954366	no	NOT SIG
0276KA	276 (used to be 277 in the old version)	277	"unspecified Source Uspensky 1968: 8 [Uspensky 1972: 60]; VardulÕ 1969, referring to Uspensky"	NA	"If there is a regular number distinction in the forms of the adjective or of the verb, there is the same distinction in the forms of the noun of  the given language."	number (adjective | verb) > number (noun)	num (adj|verb) > num (noun)	hierarchy	number	number	GB184:1 > GB042|GB043|GB044|GB165|GB166: 1	NA	"Uspensky 1968: 8 [Uspensky 1972: 60]; VardulÕ 1969, referring to Uspensky"	VardulÕ 1969	2	NA	NA	NA	NA	Nichols (1992: 4.4) is a follow-up study	"OK, we cannot include anything to capture ""regular number distinctions on the verb"""	OK	56.333521	1.7210818	1.05267897	2.4541756	SIG	1.782343	1.563827	2.015033	SIG	1.9603415	1.1080265	2.8260569	SIG	68.355472	58.938994	80.597001	SIG	1.680802279	0.980705838	2.42630175	yes	SIG
0320KA	320 (used to be 321 in the old version)	321	languages surveyed in Kozinsky 1981 Source Kozinsky 1981	NA	"If personal pronouns have an opposition of the syntactic forms of nominative and accusative, then this opposition is relevant for nouns as well."	nom/acc pronouns > nom/acc nouns	nom/acc pron > nom/acc noun	hierarchy	case	case	GB071:1 & GB408: 1 > GB070:1	NA	Kozinsky 1981	Kozinsky 1981	9	120	"The sample might have been baised because according to the review, Kozinsky took different languages into the sample without necessarily caring about genera, areas, of families."	NA	NA	NA	perfect	perfect	93.53825	3.54312685	2.08273086	5.14235704	SIG	2.32324	2.08414	2.573523	SIG	3.4040122	1.6533081	5.165279	SIG	92.208398	82.67773	104.403625	SIG	3.647812903	2.142038	5.265571625	yes	SIG
0328KA	328 (used to be 329 in the old version)	329	languages surveyed in Kozinsky 1981 Source Kozinsky 1981	NA	"If a verb agrees with a subject in prefix, then verbs have affixes or clitics which agree with the direct object."	verb agr S prefix > verb agr P	verb agr S prefix > verb agr P	hierarchy	agreement	agreement	GB092:1 > GB093:1|GB094:1	NA	Kozinsky 1981	Kozinsky 1981	9	120	"The sample might have been baised because according to the review, Kozinsky took different languages into the sample without necessarily caring about genera, areas, of families."	NA	NA	NA	"OK, we are assuming only the transitive agent and not the intransitive subject is meant"	OK	98.638819	3.4725941	1.9088749	5.3332888	SIG	2.028518	1.815391	2.238422	SIG	2.9737196	1.91255237	4.1595819	SIG	87.4671225	77.042735	102.325034	SIG	3.480281489	2.1258945	5.105568375	yes	SIG
0331aKA	331 (used to be 332 in the old version)	332	languages surveyed in Kozinsky 1981 Source Kozinsky 1981	a	"If the prefix position is the only possible one for a subject-affix, then  the object-affix also occupies this position in all forms (with the  exception of Wolio) or at least in some of them (no exceptions)."	s prefix > o prefix & no  o suffix (strong)	S pref > O pref & no O suff (strong)	hierarchy	agreement	agreement	(GB092:1 & GB091:0) > (GB094:1 & GB093:0)	NA	Kozinsky 1981	Kozinsky 1981	9	120	"The sample might have been baised because according to the review, Kozinsky took different languages into the sample without necessarily caring about genera, areas, of families."	NA	NA	NA	"OK, this is a strong implementation of the universal; we are assuming only the transitive agent and not the intransitive subject is meant"	OK	5.310562	0.6155783	-0.8906835	2.5147218	NOT SIG	-0.3136023	-0.5298212	-0.1039066	SIG	0.64061895	-0.71219529	2.2573029	NOT SIG	-10.547209	-16.863025	-0.381736	NOT SIG	0.560069354	-1.004791	2.31838075	no	NOT SIG
0331bKA	331 (used to be 332 in the old version)	332	languages surveyed in Kozinsky 1981 Source Kozinsky 1981	b	"If the prefix position is the only possible one for a subject-affix, then  the object-affix also occupies this position in all forms (with the  exception of Wolio) or at least in some of them (no exceptions)."	s prefix > o prefix | o suffix (weak)	S pref > O pref | O suff (weak)	hierarchy	agreement	agreement	(GB092:1 & GB091:0) > GB094:1	NA	Kozinsky 1981	Kozinsky 1981	9	120	"The sample might have been baised because according to the review, Kozinsky took different languages into the sample without necessarily caring about genera, areas, of families."	NA	NA	NA	"OK, this is a weak implementation of the universal; we are assuming only the transitive agent and not the intransitive subject is meant"	OK	29.451433	3.2138257	1.2044604	5.626727	SIG	1.534153	1.316655	1.752224	SIG	2.2318968	0.44159199	4.2564264	SIG	30.4126915	19.19108	49.914484	SIG	3.201911883	1.007676788	5.48479675	yes	SIG
0332KA	332 (used to be 333 in the old version)	333	languages surveyed in Kozinsky 1981 Source Kozinsky 1981	NA	"If the suffix position is the only possible one for an object-affix,  then the subject-affix also occupies this position at least in some  cases."	o suffix > s suffix	o suffix > s suffix	hierarchy	agreement	agreement	GB094:0 & GB093:1 > GB091:1	NA	Kozinsky 1981	Kozinsky 1981	9	120	"The sample might have been baised because according to the review, Kozinsky took different languages into the sample without necessarily caring about genera, areas, of families."	NA	NA	NA	"OK, we are assuming only the transitive agent and not the intransitive subject is meant"	OK	22.002674	2.8095417	1.4109459	4.3095177	SIG	0.804565	0.6081577	1.00156	SIG	2.6727859	1.107956	4.309911	SIG	18.583835	10.288717	33.53384	SIG	2.869760646	1.377289	4.449505375	yes	SIG
0344KA	344 (used to be 345 in the old version)	345	languages surveyed in Kozinsky 1981 Source Kozinsky 1981	NA	"If the order VS is dominant with transitive verbs, then it will be dominant with intransitive verbs as well."	VS (trans. verb) > VS (intrans. verb)	VS (tr. verb) > VS (intr. verb)	narrow word order	other	other	GB131:1 > GB130:2	NA	Kozinsky 1981	Kozinsky 1981	9	120	"The sample might have been baised because according to the review, Kozinsky took different languages into the sample without necessarily caring about genera, areas, of families."	NA	NA	NA	"OK, we don""t track the order of S and O in our implementation; so we might miss out on OVS languages (which are verb-medial)"	OK	179.660173	5.0581144	3.93569894	6.3010809	SIG	4.526317	4.151477	4.9118	SIG	5.506205748	4.01909733	7.0393071	SIG	195.422171	184.140077	212.905222	SIG	4.991401003	3.839545375	6.300148375	yes	SIG
0356KA	356 (used to be 357 in the old version)	357	languages surveyed in Kozinsky 1981 Source Kozinsky 1981	NA	"In the languages where the verb agrees with subject and object, if forms  like V-s are the only possible ones, then the dominant order is SV."	verb agree S&P suffixal > SV	verb agr S&P suff > SV	broad word order	agreement	word order	(GB091:1 & GB092:0) & (GB093:1 | GB094:1) > (GB132:1 | GB133:1)	NA	Kozinsky 1981	Kozinsky 1981	9	120	"The sample might have been baised because according to the review, Kozinsky took different languages into the sample without necessarily caring about genera, areas, of families."	NA	NA	NA	"OK, we only capture position of subject of transitive sentence, as for SV, with this implementation we are also including OVS languages"	OK	-13.130981	0.01225303	-1.39000858	1.4586027	NOT SIG	-0.1214438	-0.4734424	0.2374411	NOT SIG	-0.1538756	-1.35594426	0.9824733	NOT SIG	-10.1626745	-14.515086	9.031385	NOT SIG	-0.053177902	-1.5161425	1.438921625	no	NOT SIG
0357KA	357 (used to be 358 in the old version)	358	languages surveyed in Kozinsky 1981 Source Kozinsky 1981	NA	"If in a dominant word order VS the only possible forms are the forms of the V-s conjugation, then the forms like V-o are also the only possible ones."	VS & suffixal verb agree S > suffixal verb agree P	VS & suff agr S > suff agr P	broad word order	other	other	GB131:1 & GB132:0 & GB133:0 & GB091:1 & GB092:0 > GB093: 1 & GB094:0	NA	Kozinsky 1981	Kozinsky 1981	9	120	"The sample might have been baised because according to the review, Kozinsky took different languages into the sample without necessarily caring about genera, areas, of families."	NA	NA	NA	"OK, we are assuming only the transitive agent and not the intransitive subject is meant; our implementation is perhaps too strong, as it doesn""t state that there HAS to be agreement with P"	OK	2.408737	1.9239195	-0.08374118	3.9602816	NOT SIG	1.373978	0.8776724	1.899819	SIG	1.950450562	-0.35187123	4.1279561	NOT SIG	7.679785	-0.221611	21.273047	NOT SIG	1.943410043	-0.108756988	4.01584125	no	NOT SIG
0365KA	365 (used to be 366 in the old version)	366	languages surveyed in Kozinsky 1981 Source Kozinsky 1981	NA	"If the verb agrees with the subject and object and there is at least one o-V form, then the dominant order is SV."	verb agree S & prefixal verb agree P > SV	agr S & pref verb P > SV	broad word order	other	other	GB094:1 & (GB091:1 | GB092:1) > (GB132:1 | GB133:1) & GB131:0	NA	Kozinsky 1981	Kozinsky 1981	9	120	"The sample might have been baised because according to the review, Kozinsky took different languages into the sample without necessarily caring about genera, areas, of families."	NA	NA	NA	"OK, we only capture position of subject of transitive sentence, as for SV, with this implementation we are also including OVS languages"	OK	-19.929018	-0.104633757	-1.21314094	1.0447045	NOT SIG	0.04173649	-0.2382021	0.3364789	NOT SIG	-0.40230098	-1.6152243	0.9110104	NOT SIG	-15.482859	-24.467028	-4.27622	NOT SIG	-0.032657681	-1.165482625	1.1373985	no	NOT SIG
0386KA	386 (used to be 387 in the old version)	387	"Russian (E. Slavic, Indo-European), Japanese (Japanese-Ryukyuan), Vietnamese (Mon-Khmer, Austro-Asiatic) Source Moravcsik 1994a: 36"	NA	"If a language has nominal inflection, it also has verbal inflection."	nominal inflection > verbal inflection	nominal infl > verbal infl	hierarchy	inflection	inflection	"sum(GB042:1, GB043:1, GB044:1, GB165:1, GB166:1, GB430:1, GB431:1, GB432:1, GB433:1) > 0 > sum(GB119:1, GB120:1, GB121:1, GB298:1, GB089:1, GB090:1, GB091:1, GB092:1, GB093:1, GB094:1, GB082:1, GB083:1, GB084:1,  GB312:1, GB086:1, GB107:1, GB108:1, GB103:1, GB104:1) > 0"	NA	Moravcsik 1994a: 36	Moravcsik 1994a	41	3	Typologically diverse languages	NA	NA	NA	"OK, not sure if this implentation is too weak;  other forms of nominal or verbal inflection could be included but Grambank doesn""t code for them"	OK	50.005394	2.2524547	1.48278159	3.0734658	SIG	2.5366086	2.170136	2.9132267	SIG	2.595001894	1.26976777	3.8572506	SIG	56.5350375	48.046398	70.467306	SIG	2.302989131	1.526206625	3.090415625	yes	SIG
0423KA	423 (used to be 424 in the old version)	424	sample of 350 languages in Hawkins 1983 Source Hawkins 1979: 629; Hawkins 1983: 74	NA	"If a language has Prep word order, then if the verb position is not SOV, the relative clause follows the noun."	Adp-N & no SOV > N-Rel	Adp-N & no SOV > N-Rel	narrow word order	word order	word order	GB074:1 & GB133:0 > GB327:1	NA	Hawkins 1979: 629; Hawkins 1983: 74	Hawkins 1983	1821	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	"OK, OSV languages are included as Grambank doesn""t have information on the order of subject and object"	OK	26.857575	2.9877953	1.17392207	5.0140372	SIG	2.728495	2.329612	3.163391	SIG	2.06949432	0.10787215	4.3810627	SIG	31.5426155	23.012596	44.932227	SIG	3.131014894	1.23663225	5.16442475	yes	SIG
0439KA	439 (used to be 440 in the old version)	440	sample of Nichols 1992 Source Nichols 1992: 113	NA	Non-accusative alignment may be associated with verb-initial order.	non-accusative alignment > V-initial	non-acc align > V-initial	broad word order	other	word order	GB408:0 & GB409:1 > GB131:1 & GB132:0 & GB133:0	NA	Nichols 1992: 113	Nichols 1992	2079	174	Not significantly: global sample intended to be balanced for genealogy and geography	no bias	no bias	"Nichols notes: ""The putative correlation cannot be distinguished from an accident of geography"" ... in other words, she was skeptical!"	perfect	perfect	1.324027	-0.1400867	-2.06145603	1.3523731	NOT SIG	0.3289564	-0.07621909	0.7142753	NOT SIG	0.57107352	-1.29936507	2.0776503	NOT SIG	4.0763445	-1.893026	12.047717	NOT SIG	-0.130974617	-2.048323875	1.306601125	no	NOT SIG
0446KA	446 (used to be 447 in the old version)	447	sample of Rijkhoff 1992: ch.9 Source Rijkhoff 1992: 249	NA	"If a language has Verb-final (rigid, or non-rigid) or free word order as (one of) its basic word order(s), then it has postpositions or case affixes."	V-final | free > N-Adp | case	V-final | free > N-Adp | case	broad word order	other	other	GB133:1 | GB136:0 > GB070:1|GB075:1	NA	Rijkhoff 1992: 249	Rijkhoff 1992	71	50	no bias	no bias	no bias	NA	"OK,  unclear if both core and oblique case markers should be considered"	OK	64.841231	1.7692173	0.56883864	3.04615	SIG	2.1351368	1.9100463	2.3626598	SIG	2.74103487	1.31482875	4.1933011	SIG	69.512395	62.210866	84.359897	SIG	1.964717457	0.732808713	3.248980125	yes	SIG
0454KA	454 (used to be 455 in the old version)	455	75 languages surveyed in Ultan 1978e Source Ultan 1978e: 36	NA	"Personal possessive prefixes always imply a GN order, but not the converse; for  personal possessive suffixes there is no such rule. Alternative formulation Ultan 1978: 26: ""An examination of the 12 languages in the sample having inalienable pronominal prefixes shows that all have a GN constituent order in possessive constructions. In other words, a prefix implies a constituent order of GN in cases of inalienable possession by pronominal affix."""	inalienable possessive prefixes > Gen-N	inalien poss pref > Gen-N	broad word order	other	word order	GB431:1 & GB059:1 > GB065:1	NA	Ultan 1978e: 36	Ultan 1978e	118	75	bias towards Eurasia	bias towards Eurasia	bias towards Eurasia	"It""s not clear to me that Ultan intended this to be restricted to inalienable possession. The description on p.26 goes on to say, ""The above statement is further confirmed by the fact that all the languages sampled with pronominal prefixes (i.e. including not only inalienable prefixes) have GN orders."""	"not great, we focus on languages that have an alienable/inalienable distinction AND possessive prefixes. This would not necessarily identify inalienable possessive prefixes, as it was intended to do, but that""s a moot point since Ultan doesn""t seem to think this is restricted to inalienable possession."	less than OK	-10.697342	-0.25626235	-1.41038157	0.6763954	NOT SIG	0.4823292	0.1608897	0.7946385	SIG	0.04397789	-1.04833817	1.0367661	NOT SIG	-7.925467	-26.101856	17.497973	NOT SIG	-0.165032506	-1.11459325	0.67963595	no	NOT SIG
0489KA	489 (used to be 491 in the old version)	491	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 79, #4"	NA	"Universal 4. With overwhelmingly greater than chance frequency, languages with normal SOV order are postpositional."	SOV > N-Adp	SOV > N-Adp	narrow word order	word order	word order	GB131:0 & GB132:0 & GB133:1 > GB075:1	BDT Dryer 1992	Greenberg 1963 no. 4	Greenberg 1963	6329	30	yes; overrepresentation of Eurasia and underrepresentation of other areas	bias towards Eurasia	bias towards Eurasia	NA	"OK; but possibly important to consider whether having postpositions (at all) is really the same as a language ""being postpositional""; we are including OSV languages in our implementation"	OK	106.626907	2.97005389	1.81964805	4.0873975	SIG	3.062277	2.803701	3.32091	SIG	2.8144818	1.21507478	4.24818	SIG	115.88258	105.373133	134.057099	SIG	3.248204261	2.088894625	4.429304625	yes	SIG
0493aKA	493 (used to be 495 in the old version)	495	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 82, #9"	a	"Universal 9. With well more than chance frequency, when question particles or affixes are specified in position by reference to the sentence as a whole, if initial, such elements are found in prepositional languages, and, if final, in postpositional."	Q-Sent > Adp-N	Q-Sent > Adp-N	narrow word order	word order	word order	GB262:1 > GB074:1	BDT Dryer 1992	Greenberg 1963 no. 9	Greenberg 1963	6329	30	yes; overrepresentation of Eurasia and underrepresentation of other areas	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	-8.007642	0.93817554	0.06591834	1.8728312	SIG	0.6008035	0.2906017	0.8973625	SIG	1.0418637	-0.05841361	2.2008816	NOT SIG	-8.6003745	-14.503181	1.456506	NOT SIG	1.081680972	0.154491225	2.092720375	yes	NOT SIG
0493bKA	493 (used to be 495 in the old version)	495	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 82, #9"	b	"Universal 9. With well more than chance frequency, when question particles or affixes are specified in position by reference to the sentence as a whole, if initial, such elements are found in prepositional languages, and, if final, in postpositional."	Sent-Q > N-Adp	Sent-Q > N-Adp	narrow word order	word order	word order	GB263:1 > GB075:1	BDT Dryer 1992	Greenberg 1963 no. 9	Greenberg 1963	6329	30	yes; overrepresentation of Eurasia and underrepresentation of other areas	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	-6.744002	0.6672251	0.169265787	1.2034507	SIG	0.4310221	0.2245245	0.6388294	SIG	0.548969635	-0.08293672	1.2350533	NOT SIG	-2.045357	-8.150702	5.319628	NOT SIG	0.644332711	0.139660888	1.2002035	yes	NOT SIG
0504aKA	504 (used to be 506 in the old version)	506	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 93, #27"	a	"Universal 27. If a language is exclusively suffixing, it is postpositional; if it is exclusively prefixing, it is prepositional."	prefixes > Adp-N	prefixes > Adp-N	broad word order	other	word order	"sum(GB079:1,GB090:1,GB092:1,GB094:1,GB430:1,GB431:1) => 2 & sum(GB80:1,GB089:1,GB091:1,GB093:1,GB432:1,GB433:1) = 0 > GB074:1"	NA	Greenberg 1963 no. 27	Greenberg 1963	6329	30	yes; overrepresentation of Eurasia and underrepresentation of other areas	bias towards Eurasia	bias towards Eurasia	NA	"good, but ""being exclusively prefixing"" and ""being prepositional"" may not be exactly the same as having many prefixes and having prepositions"	OK	-9.966044	0.5113127	-0.84657947	1.915523	NOT SIG	0.7491423	-0.006214772	1.617685	NOT SIG	1.21631797	-0.61631169	3.1894465	NOT SIG	-8.5044205	-13.600632	-4.726633	NOT SIG	0.646177684	-0.749127838	2.058224625	no	NOT SIG
0504bKA	504 (used to be 506 in the old version)	506	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 93, #27"	b	"Universal 27. If a language is exclusively suffixing, it is postpositional"	suffixes > N-Adp	suffixes > N-Adp	broad word order	other	word order	"sum(GB80:1,GB089:1,GB091:1,GB093:1,GB432:1,GB433:1) => 2 & sum(GB079:1,GB090:1,GB092:1,GB094:1,GB430:1,GB431:1) = 0 > GB075:1"	NA	Greenberg 1963 no. 27	Greenberg 1963	6329	30	yes; overrepresentation of Eurasia and underrepresentation of other areas	bias towards Eurasia	bias towards Eurasia	NA	"good, but ""being exclusively suffixing"" and ""being postpositional"" may not be exactly the same as having many suffixes and having postpositions"	OK	-7.075494	-0.03335462	-1.02936481	0.89948348	NOT SIG	1.352508	1.03947	1.675588	SIG	-0.12910736	-1.46356334	0.9845517	NOT SIG	-4.69313	-13.032293	6.735545	NOT SIG	0.039805095	-1.047436125	1.01832525	no	NOT SIG
0506KA	506 (used to be 508 in the old version)	508	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 93, #29"	NA	"If a language has inflection, it always has derivation."	inflection > word formation	inflection > word formation	other	inflection	other	"sum(GB042, GB043, GB044, GB051, GB052, GB053, GB054, GB070, GB072, GB082, GB083, GB084, GB086, GB089, GB090, GB091, GB092, GB093, GB094, GB103, GB104, GB107, GB108, GB113, GB114, GB115, GB119, GB120, GB121, GB147, GB148, GB149, GB155, GB165, GB166, GB192, GB286, GB298, GB312, GB321, GB322, GB323, GB430, GB431, GB432, GB433) >=1 > sum(GB047, GB048, GB049) >=1"	NA	"Greenberg 1963: 93, #29"	Greenberg 1963	6329	30	yes; overrepresentation of Eurasia and underrepresentation of other areas	bias towards Eurasia	bias towards Eurasia	NA	"not great, we capture a lot more inflection than derivation"	less than OK	1.611725	1.8301327	-0.56847904	4.1361399	NOT SIG	1.654316	0.3469601	2.921812	SIG	2.43865409	-0.26388074	5.2979008	NOT SIG	1.736802	0.524959	2.480386	NOT SIG	1.800801304	-0.490332087	4.046342875	no	NOT SIG
0507KA	507 (used to be 509 in the old version)	509	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 93, #30"	NA	"If the verb has categories of person-number or if it has categories of gender, it always has tense-mood categories."	(person)-number (verb) > tense-mood (verb)	(person)-number > tense-mood	other	other	other	(GB089|GB90|GB91|GB92|GB93|GB94) > 0 > (GB082|GB083|GB084|GB110|GB312) > 0	NA	"Greenberg 1963: 93, #30"	Greenberg 1963	6329	30	yes; overrepresentation of Eurasia and underrepresentation of other areas	bias towards Eurasia	bias towards Eurasia	NA	"OK, Grambank doesn""t capture gender marking on verbs"	OK	15.753866	1.0151162	-0.95739119	2.6200434	NOT SIG	1.943196	1.595007	2.323644	SIG	2.70886113	0.61828929	4.6846027	SIG	17.291309	11.671526	31.816958	SIG	1.152452079	-0.72433405	2.7083695	no	NOT SIG
0511aKA	511 (used to be 513 in the old version)	513	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 94, #34"	a	Universal 34. No language has a trial number unless it has a dual. No language has a dual unless it has a plural.	Trial > Dual	Trial > Dual	hierarchy	number	number	GB319|GB165:1 > GB043|GB317:1	NA	Greenberg 1963 no. 34	Greenberg 1963	6329	30	yes; overrepresentation of Eurasia and underrepresentation of other areas	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	18.333004	2.0500391	-1.96913175	5.1523973	NOT SIG	3.684225	2.443389	5.278926	SIG	1.840238	-2.05903248	5.0942742	NOT SIG	16.6582735	14.493349	19.652087	SIG	2.062909521	-1.959133875	5.20701725	no	NOT SIG
0511bKA	511 (used to be 513 in the old version)	513	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 94, #34"	b	Universal 34. No language has a trial number unless it has a dual. No language has a dual unless it has a plural.	Dual > Plural	Dual > Plural	hierarchy	number	number	GB043|GB317:1 > GB044|GB318:1	NA	Greenberg 1963 no. 34	Greenberg 1963	6329	30	yes; overrepresentation of Eurasia and underrepresentation of other areas	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	36.648918	3.90968856	2.60475883	5.268963	SIG	1.96848	1.433876	2.600539	SIG	3.0009252	1.21153402	4.664959	SIG	41.9427245	31.463544	50.195177	SIG	3.941760996	2.678304375	5.2939495	yes	SIG
